,Year,Airport,FlightsA-Domestic,PaxA-Domestic,CargoA-Domestic,FlightsD-Domestic,PaxD-Domestic,CargoD-Domestic,FlightsA-international,PaxA-international,CargoA-international,FlightsD-international,PaxD-international,CargoD-international,Flights,Pax,Cargo
112,2014,ELQ,"  2,533.0 ","  261,485.0 ",  552.1 ,"  2,528.0 ","  270,034.0 ",  371.4 ,"  2,375.0 ","  175,410.0 ",  -   ,"  2,375.0 ","  296,173.0 ",  -   ,"  9,811.0 ","  1,003,102.0 ",  923.4 
113,2014,GIZ,"  5,657.0 ","  715,966.0 ",  917.1 ,"  5,636.0 ","  805,753.0 ","  1,814.4 ",,,,  5.0 ,  872.0 ,  -   ,"  11,298.0 ","  1,522,591.0 ","  2,731.5 "
114,2014,HAS,"  2,499.0 ","  296,032.0 ",  865.0 ,"  2,500.0 ","  305,263.0 ",  278.8 ,  421.0 ,"  39,396.0 ",  -   ,  423.0 ,"  51,718.0 ",  -   ,"  5,843.0 ","  692,409.0 ","  1,143.8 "
115,2014,HOF,  271.0 ,"  21,738.0 ",  2.0 ,  270.0 ,"  24,195.0 ",  1.1 ,  346.0 ,"  7,381.0 ",  -   ,  349.0 ,"  34,165.0 ",  -   ,"  1,236.0 ","  87,479.0 ",  3.1 
116,2014,JED,"  32,886.0 ","  4,392,926.0 ","  12,867.6 ","  30,755.0 ","  4,374,638.0 ","  15,089.3 ","  54,766.0 ","  7,223,143.0 ","  104,587.6 ","  56,354.0 ","  8,467,606.0 ","  76,393.5 ","  174,761.0 ","  24,458,313.0 ","  208,938.0 "
117,2014,MED,"  9,529.0 ","  877,185.0 ",  958.0 ,"  12,048.0 ","  1,051,324.0 ","  1,042.5 ","  10,929.0 ","  1,336,931.0 ","  1,100.8 ","  9,244.0 ","  1,055,893.0 ",  928.9 ,"  41,750.0 ","  4,321,333.0 ","  4,030.2 "
118,2014,RAE,"  1,052.0 ","  104,262.0 ",  319.8 ,"  1,053.0 ","  107,087.0 ",  22.7 ,,,,,,,"  2,105.0 ","  211,349.0 ",  342.4 
119,2014,RAH,  468.0 ,"  27,395.0 ",  28.9 ,  469.0 ,"  29,178.0 ",  4.4 ,,,,,,,  937.0 ,"  56,573.0 ",  33.3 
120,2014,RUH,"  40,901.0 ","  5,311,781.0 ","  13,725.8 ","  40,688.0 ","  5,169,502.0 ","  15,494.6 ","  31,998.0 ","  4,987,023.0 ","  81,094.0 ","  31,791.0 ","  4,883,999.0 ","  50,887.3 ","  145,378.0 ","  20,352,305.0 ","  161,201.7 "
121,2014,SHW,  729.0 ,"  64,425.0 ",  75.6 ,  729.0 ,"  63,578.0 ",  12.6 ,,,,,,,"  1,458.0 ","  128,003.0 ",  88.1 
122,2014,TIF,"  2,366.0 ","  268,709.0 ",  192.6 ,"  2,368.0 ","  290,856.0 ",  135.8 ,"  1,760.0 ","  138,049.0 ",  -   ,"  1,757.0 ","  222,916.0 ",  -   ,"  8,251.0 ","  920,530.0 ",  328.4 
123,2014,TUI,  365.0 ,"  20,455.0 ",  12.5 ,  365.0 ,"  21,730.0 ",  5.6 ,,,,,,,  730.0 ,"  42,185.0 ",  18.1 
124,2014,TUU,"  4,221.0 ","  495,585.0 ","  1,497.1 ","  4,233.0 ","  505,000.0 ",  444.7 ,  501.0 ,"  35,257.0 ",  -   ,  496.0 ,"  54,324.0 ",  -   ,"  9,451.0 ","  1,090,166.0 ","  1,941.8 "
125,2014,ULH,  200.0 ,"  7,195.0 ",  0.4 ,  200.0 ,"  6,943.0 ",  0.4 ,,,,,,,  400.0 ,"  14,138.0 ",  0.8 
126,2014,URY,  936.0 ,"  93,363.0 ",  274.1 ,  939.0 ,"  97,182.0 ",  26.5 ,,,,,,,"  1,875.0 ","  190,545.0 ",  300.6 
127,2014,WAE,  983.0 ,"  51,670.0 ",  7.9 ,  984.0 ,"  57,595.0 ",  1.9 ,,,,,,,"  1,967.0 ","  109,265.0 ",  9.7 
128,2014,YNB,"  1,911.0 ","  148,041.0 ",  131.0 ,"  1,913.0 ","  174,668.0 ",  9.4 ,"  1,660.0 ","  117,624.0 ",  -   ,"  1,661.0 ","  226,305.0 ",  -   ,"  7,145.0 ","  666,638.0 ",  140.4 
129,2015,ABT,"  1,567.0 ","  185,973.0 ",  71.5 ,"  1,566.0 ","  189,543.0 ",  30.5 ,,,,,,,"  3,133.0 ","  375,516.0 ",  102.0 
130,2015,AHB,"  11,339.0 ","  1,333,489.0 ","  2,295.6 ","  11,360.0 ","  1,340,516.0 ",  663.3 ,"  1,727.0 ","  214,063.0 ",  16.6 ,"  1,725.0 ","  203,808.0 ",  5.8 ,"  26,151.0 ","  3,091,876.0 ","  2,981.3 "
131,2015,AJF,"  1,761.0 ","  181,603.0 ",  501.9 ,"  1,754.0 ","  179,923.0 ",  64.1 ,  442.0 ,"  40,095.0 ",  -   ,  455.0 ,"  42,803.0 ",  -   ,"  4,412.0 ","  444,424.0 ",  566.0 
132,2015,AQI,"  1,079.0 ","  67,709.0 ",  24.2 ,"  1,079.0 ","  70,609.0 ",  65.7 ,,,,,,,"  2,158.0 ","  138,318.0 ",  89.9 
133,2015,BHH,"  1,790.0 ","  188,263.0 ",  102.3 ,"  1,789.0 ","  188,378.0 ",  20.9 ,,,,,,,"  3,579.0 ","  376,641.0 ",  123.2 
